lr,t,c_l,c_r,c_s,cc,cs,n_l,n_r,n_s,nn,s_l,s_r,s_s,sc,ss,sum
RGMB_NEO1,CESC,5.85,12.58,43.65,27.4,17.98,5.7,13.06,74.46,27.72,3.47,8.25,28.64,16.25,10.66,268.65
RGMB_NEO1,CRC,11.06,21.92,152.4,15.14,21.97,12.79,49.52,633.44,39.56,6.95,31.8,221.1,9.52,13.81,1601.16
RGMB_NEO1,ESCA,4.46,16.16,182.02,9.53,7.7,24.09,12.33,297.06,39.27,11.26,13.06,147.09,24.06,19.44,756.49
RGMB_NEO1,GBM,14.85,21.72,136.17,33.35,19.06,14.48,17.02,246.47,25.48,6.27,12.41,77.81,14.08,8.04,967.41
RGMB_NEO1,HNSC,4.19,11.99,54.23,21.23,16.82,4.46,11.09,49.39,20.87,4.52,9.5,42.96,22.92,18.16,236.62
RGMB_NEO1,KIRC,2.39,17.44,51.34,15.93,17.29,2.93,23.19,67.87,25.91,2.94,18.93,55.74,19.6,21.28,261.96
RGMB_NEO1,KIRP,2.27,20.92,36.25,25.57,12.33,2.61,23.7,61.74,33.21,1.73,10.09,17.48,19.49,9.4,185.94
RGMB_NEO1,LGG,53.81,20.68,87.34,37.72,47.26,14.48,17.02,246.47,8.35,4.22,25.91,109.44,2.96,3.71,2950.1
RGMB_NEO1,LIHC,2.08,4.08,6.77,18.97,30.9,1.45,3.21,4.63,10.36,1.66,6.65,11.03,15.13,24.64,44.75
RGMB_NEO1,LUAD,4.75,13.18,64.52,18.93,13.29,6.0,19.04,114.26,34.56,4.9,9.25,45.3,19.51,13.7,330.62
RGMB_NEO1,LUSC,5.28,29.89,130.18,30.73,13.41,5.57,17.92,99.81,19.44,4.36,13.04,56.79,25.36,11.06,513.32
RGMB_NEO1,MEDIAN,,,,20.66,16.89,,,,25.91,,,,18.38,,
RGMB_NEO1,OV,5.22,25.75,118.63,21.65,15.81,10.56,17.35,183.19,29.49,4.61,18.8,86.62,19.1,13.95,621.14
RGMB_NEO1,PAAD,2.9,9.09,46.1,8.57,19.02,4.45,16.71,74.29,24.16,5.07,20.16,102.28,14.99,33.26,307.54
RGMB_NEO1,PRAD,9.39,19.96,276.09,9.92,20.14,13.91,34.83,484.52,25.65,13.83,40.51,560.36,14.62,29.67,1888.72
RGMB_NEO1,SKCM,9.7,16.57,92.02,39.7,21.27,2.58,6.5,16.78,4.14,5.55,8.88,49.29,22.72,12.17,405.01
RGMB_NEO1,STAD,3.12,13.6,229.45,5.63,6.77,13.14,11.79,154.97,20.55,16.87,16.36,276.04,30.43,36.61,754.0
RGMB_NEO1,THCA,8.75,13.67,83.25,26.72,16.97,7.05,16.46,116.06,25.92,6.09,8.68,52.87,18.59,11.81,447.81
RGMB_NEO1,UCEC,6.25,21.78,67.25,36.74,7.73,7.2,17.25,124.22,33.55,3.09,4.58,14.15,18.16,3.82,370.31
RNASE2_TLR2,BLCA,0.0,0.82,2.9,0.0,0.0,0.3,1.48,0.45,1.23,3.54,9.32,32.99,7.99,90.78,36.34
RNASE2_TLR2,BRCA,0.31,1.02,2.09,1.02,11.27,0.35,5.01,1.76,5.71,2.04,11.34,23.17,6.8,75.21,30.8
RNASE2_TLR2,CESC,0.0,1.79,5.92,0.0,0.0,0.14,1.07,0.15,0.42,3.3,9.09,30.04,16.39,83.19,36.1
RNASE2_TLR2,CRC,0.0,0.07,0.19,0.0,0.0,0.29,1.08,0.31,1.3,2.81,8.4,23.63,0.77,97.93,24.13
RNASE2_TLR2,ESCA,0.25,1.67,2.85,2.13,10.59,0.03,0.8,0.02,0.13,1.7,8.33,14.2,14.57,72.59,19.56
RNASE2_TLR2,GBM,1.99,1.51,243.17,0.04,1.18,0.78,1.0,0.78,0.01,161.24,43.5,7014.34,3.31,95.46,7347.87
RNASE2_TLR2,HNSC,0.0,3.0,5.55,0.0,0.0,0.22,2.55,0.56,2.48,1.85,8.97,16.59,24.46,73.06,22.7
RNASE2_TLR2,KIRC,0.0,1.0,6.61,0.0,0.0,0.26,1.75,0.46,0.34,6.58,19.26,126.79,4.94,94.72,133.85
RNASE2_TLR2,KIRP,0.07,1.04,4.56,0.11,1.43,0.17,1.58,0.26,0.39,4.37,13.9,60.69,6.85,91.22,66.53
RNASE2_TLR2,LGG,0.2,0.41,4.35,0.05,1.82,0.78,1.0,0.78,0.47,10.68,14.81,158.18,2.61,95.05,166.41
RNASE2_TLR2,LIHC,0.19,0.12,0.11,0.4,15.64,0.18,1.31,0.24,4.39,0.92,4.54,4.17,2.01,77.56,5.38
RNASE2_TLR2,LUAD,0.19,1.72,8.64,0.23,3.05,1.13,14.6,16.51,11.42,5.01,22.88,114.71,5.98,79.32,144.61
RNASE2_TLR2,LUSC,0.0,1.69,7.34,0.0,0.0,1.46,13.35,19.42,22.05,4.34,14.12,61.33,8.33,69.62,88.09
RNASE2_TLR2,MEDIAN,,,,0.04,0.6,,,,1.27,,,,6.47,,
RNASE2_TLR2,OV,0.33,0.58,6.57,0.11,2.71,0.91,1.82,1.65,0.96,11.37,14.0,159.16,3.81,92.41,172.24
RNASE2_TLR2,PAAD,0.0,0.28,1.47,0.0,0.0,4.66,10.97,51.07,43.04,5.2,12.71,66.12,1.24,55.72,118.66
RNASE2_TLR2,PRAD,0.0,0.0,0.0,0.0,0.0,0.19,1.53,0.28,17.69,0.47,2.83,1.32,0.0,82.31,1.61
RNASE2_TLR2,SKCM,0.03,0.82,4.31,0.04,0.5,1.95,5.2,10.15,14.49,5.23,10.57,55.22,6.15,78.83,70.05
RNASE2_TLR2,STAD,0.25,0.91,2.59,1.37,6.58,0.24,0.82,0.19,1.17,2.84,4.38,12.45,15.64,75.24,16.55
RNASE2_TLR2,THCA,0.0,0.78,1.18,0.0,0.0,0.15,1.5,0.23,1.89,1.51,7.02,10.6,9.79,88.32,12.0
RNASE2_TLR2,UCEC,0.03,1.02,4.16,0.12,0.71,0.13,1.26,0.17,0.57,4.09,5.95,24.36,14.37,84.23,28.92
RSPO3_FZD8,BLCA,0.0,0.32,0.8,0.0,0.0,3.26,1.13,3.69,42.45,2.48,1.69,4.2,9.16,48.39,8.69
RSPO3_FZD8,BRCA,0.0,2.72,10.84,0.0,0.0,6.49,4.92,31.94,52.89,3.98,4.42,17.61,17.95,29.16,60.39
RSPO3_FZD8,CESC,0.09,5.4,9.71,0.38,0.01,56.8,2.16,122.75,92.06,1.8,0.19,0.34,7.28,0.26,133.33
RSPO3_FZD8,CRC,0.0,1.09,6.92,0.0,0.0,2.39,3.28,7.84,15.76,6.32,5.53,35.0,13.91,70.33,49.76
RSPO3_FZD8,ESCA,0.0,1.16,7.15,0.0,0.0,1.96,4.66,9.14,24.69,6.15,3.37,20.72,19.32,55.99,37.02
RSPO3_FZD8,GBM,0.14,2.47,0.84,4.25,2.04,2.78,2.38,6.62,78.95,0.34,1.18,0.4,9.98,4.78,8.39
RSPO3_FZD8,HNSC,0.0,1.62,1.48,0.0,0.0,0.81,0.97,0.78,22.35,0.91,1.36,1.24,42.31,35.34,3.5
RSPO3_FZD8,KIRC,0.15,3.91,5.79,2.45,2.43,2.03,5.35,10.86,46.08,1.48,3.89,5.76,24.59,24.45,23.56
RSPO3_FZD8,KIRP,0.0,6.54,4.72,0.0,0.0,1.15,6.77,7.76,48.53,0.72,4.87,3.51,29.51,21.95,15.99
RSPO3_FZD8,LGG,0.26,0.53,0.59,1.3,5.72,2.78,2.38,6.62,62.75,1.11,2.35,2.6,5.59,24.65,10.55
RSPO3_FZD8,LIHC,0.0,0.3,0.27,0.0,0.0,1.45,0.91,1.32,39.06,0.89,2.01,1.79,7.97,52.97,3.38
RSPO3_FZD8,LUAD,0.54,4.16,8.9,8.96,4.43,2.08,3.96,8.24,33.14,2.14,2.05,4.4,35.78,17.68,24.87
RSPO3_FZD8,LUSC,0.0,2.35,6.05,0.0,0.0,2.25,3.85,8.63,42.44,2.58,2.19,5.65,29.76,27.79,20.34
RSPO3_FZD8,MEDIAN,,,,0.0,0.0,,,,40.75,,,,18.64,,
RSPO3_FZD8,OV,1.49,2.95,25.07,7.1,7.77,0.2,0.97,0.19,0.31,8.49,3.23,27.45,40.49,44.33,61.92
RSPO3_FZD8,PAAD,0.0,0.95,4.05,0.0,0.0,1.86,3.5,6.51,19.13,4.28,5.48,23.45,11.92,68.95,34.01
RSPO3_FZD8,PRAD,0.0,5.89,29.93,0.0,0.0,3.61,1.25,4.52,9.96,5.08,2.15,10.92,65.98,24.07,45.36
RSPO3_FZD8,SKCM,0.0,0.55,0.93,0.0,0.0,2.17,0.36,0.78,16.68,1.7,1.76,2.99,19.77,63.55,4.7
RSPO3_FZD8,STAD,0.0,1.0,13.95,0.0,0.0,3.49,3.48,12.13,8.23,13.91,8.72,121.28,9.47,82.3,147.37
RSPO3_FZD8,THCA,0.0,4.74,3.62,0.0,0.0,1.12,6.12,6.86,59.76,0.76,1.31,1.0,31.55,8.69,11.48
RSPO3_FZD8,UCEC,1.38,7.23,13.81,8.66,2.43,27.7,3.07,85.08,73.61,1.91,2.03,3.88,11.95,3.36,115.58
RSPO3_LRP6,BLCA,0.0,3.21,7.97,0.0,0.0,3.26,3.41,11.12,45.37,2.48,2.18,5.42,32.52,22.11,24.51
RSPO3_LRP6,BRCA,0.0,6.54,26.05,0.0,0.0,6.49,8.7,56.48,57.36,3.98,4.0,15.94,26.46,16.19,98.47
RSPO3_LRP6,CESC,0.09,3.99,7.17,0.09,0.04,56.8,7.15,406.15,97.46,1.8,1.61,2.9,1.72,0.7,416.75
RSPO3_LRP6,CRC,0.0,4.63,29.29,0.0,0.0,2.39,4.04,9.66,13.58,6.32,5.09,32.19,41.17,45.25,71.14
RSPO3_LRP6,ESCA,0.0,10.55,64.89,0.0,0.0,1.96,5.14,10.08,10.12,6.15,4.0,24.6,65.17,24.71,99.57
RSPO3_LRP6,GBM,0.14,5.83,1.98,6.75,1.35,2.78,3.27,9.1,72.88,0.34,1.16,0.39,15.86,3.16,12.48
RSPO3_LRP6,HNSC,0.0,4.05,3.69,0.0,0.0,0.81,2.28,1.84,26.26,0.91,1.61,1.47,52.76,20.98,6.99
RSPO3_LRP6,KIRC,0.15,5.11,7.57,2.42,2.04,2.03,7.78,15.79,50.75,1.48,4.3,6.37,24.33,20.46,31.12
RSPO3_LRP6,KIRP,0.0,5.05,3.64,0.0,0.0,1.15,6.44,7.38,58.12,0.72,2.33,1.68,28.64,13.24,12.71
RSPO3_LRP6,LGG,0.26,8.88,9.85,9.02,3.06,2.78,3.27,9.1,35.9,1.11,3.01,3.34,38.86,13.17,25.34
RSPO3_LRP6,LIHC,0.0,5.76,5.14,0.0,0.0,1.45,3.47,5.04,39.96,0.89,2.72,2.42,40.8,19.24,12.6
RSPO3_LRP6,LUAD,0.54,6.55,14.04,9.35,4.5,2.08,5.57,11.59,30.83,2.14,3.15,6.76,37.34,17.97,37.6
RSPO3_LRP6,LUSC,0.0,7.15,18.45,0.0,0.0,2.25,5.13,11.52,31.52,2.58,2.55,6.58,50.48,18.0,36.55
RSPO3_LRP6,MEDIAN,,,,0.0,0.0,,,,33.71,,,,38.1,,
RSPO3_LRP6,OV,1.49,6.27,53.29,8.78,5.92,0.2,7.94,1.59,1.5,8.49,4.23,35.91,50.07,33.74,106.44
RSPO3_LRP6,PAAD,0.0,3.53,15.11,0.0,0.0,1.86,3.04,5.65,14.93,4.28,3.99,17.06,39.96,45.11,37.82
RSPO3_LRP6,PRAD,0.0,3.51,17.82,0.0,0.0,3.61,5.04,18.18,29.22,5.08,5.16,26.22,28.64,42.14,62.22
RSPO3_LRP6,SKCM,0.0,8.04,13.67,0.0,0.0,2.17,3.15,6.84,27.25,1.7,2.71,4.6,54.44,18.31,25.1
RSPO3_LRP6,STAD,0.0,8.38,116.57,0.0,0.0,3.49,3.87,13.51,6.09,13.91,6.61,91.88,52.52,41.39,221.96
RSPO3_LRP6,THCA,0.0,6.06,4.63,0.0,0.0,1.12,6.23,6.99,51.7,0.76,2.49,1.9,34.25,14.05,13.51
RSPO3_LRP6,UCEC,1.38,7.11,13.59,4.77,1.96,27.7,6.25,173.17,83.96,1.91,2.93,5.6,6.59,2.71,206.25
RSPO3_SDC4,BLCA,0.0,143.1,355.51,0.0,0.0,3.26,109.56,357.28,34.46,2.48,130.43,324.05,34.29,31.25,1036.84
RSPO3_SDC4,BRCA,0.0,156.27,621.98,0.0,0.0,6.49,115.04,746.7,45.83,3.98,65.5,260.69,38.17,16.0,1629.37
RSPO3_SDC4,CESC,0.09,144.98,260.7,0.48,0.44,56.8,41.12,2335.73,81.64,1.8,132.55,238.35,9.11,8.33,2861.13
RSPO3_SDC4,CRC,0.0,134.47,850.42,0.0,0.0,2.39,63.58,152.02,10.38,6.32,73.17,462.73,58.04,31.58,1465.17
RSPO3_SDC4,ESCA,0.0,71.25,438.09,0.0,0.0,1.96,37.02,72.6,6.4,6.15,101.31,622.93,38.65,54.95,1133.63
RSPO3_SDC4,GBM,0.14,12.7,4.31,1.34,9.18,2.78,31.96,88.88,64.77,0.34,87.22,29.6,3.14,21.57,137.23
RSPO3_SDC4,HNSC,0.0,144.97,132.14,0.0,0.0,0.81,87.16,70.19,23.83,0.91,101.18,92.22,44.86,31.31,294.55
RSPO3_SDC4,KIRC,0.15,231.42,343.05,4.22,0.94,2.03,170.71,346.71,42.9,1.48,51.72,76.67,42.45,9.49,808.19
RSPO3_SDC4,KIRP,0.0,271.88,196.1,0.0,0.0,1.15,155.22,178.1,38.22,0.72,127.3,91.82,42.08,19.7,466.02
RSPO3_SDC4,LGG,0.26,1.41,1.56,0.09,14.56,2.78,31.96,88.88,22.23,1.11,226.2,250.87,0.39,62.73,399.89
RSPO3_SDC4,LIHC,0.0,135.87,121.2,0.0,0.0,1.45,132.09,191.65,50.3,0.89,76.4,68.14,31.81,17.89,380.99
RSPO3_SDC4,LUAD,0.54,144.95,310.51,5.55,7.05,2.08,249.3,518.79,37.05,2.14,184.04,394.26,22.18,28.16,1400.08
RSPO3_SDC4,LUSC,0.0,48.04,123.98,0.0,0.0,2.25,214.28,481.16,47.66,2.58,156.74,404.52,12.28,40.07,1009.65
RSPO3_SDC4,MEDIAN,,,,0.0,0.0,,,,35.3,,,,33.05,,
RSPO3_SDC4,OV,1.49,78.84,669.69,9.03,5.85,0.2,14.69,2.95,0.23,8.49,51.03,433.45,51.54,33.36,1299.48
RSPO3_SDC4,PAAD,0.0,205.56,879.76,0.0,0.0,1.86,154.42,286.69,17.87,4.28,102.29,437.8,54.84,27.29,1604.25
RSPO3_SDC4,PRAD,0.0,19.2,97.53,0.0,0.0,3.61,59.88,216.19,32.37,5.08,69.7,354.1,14.6,53.02,667.83
RSPO3_SDC4,SKCM,0.0,22.44,38.12,0.0,0.0,2.17,23.08,50.11,36.14,1.7,29.68,50.41,27.5,36.36,138.64
RSPO3_SDC4,STAD,0.0,105.6,1468.49,0.0,0.0,3.49,46.76,163.22,5.93,13.91,80.55,1120.18,53.36,40.71,2751.89
RSPO3_SDC4,THCA,0.0,87.26,66.62,0.0,0.0,1.12,51.66,57.92,9.5,0.76,635.62,485.27,10.92,79.58,609.8
RSPO3_SDC4,UCEC,1.38,88.9,169.91,7.77,5.47,27.7,39.14,1084.3,68.47,1.91,62.64,119.72,10.73,7.56,1583.67
S100A8_TLR4,BLCA,16.7,0.62,773.91,0.18,1.11,32.31,3.2,103.43,1.81,1248.9,3.81,4763.16,13.54,83.35,5714.54
S100A8_TLR4,BRCA,1.53,0.61,62.04,0.07,1.27,12.95,9.54,123.56,9.25,101.46,11.16,1132.13,4.64,84.76,1335.69
S100A8_TLR4,CESC,94.36,0.0,0.0,0.0,0.39,5.36,3.88,20.81,0.02,24265.86,3.44,83552.29,0.0,99.59,83897.99
S100A8_TLR4,CRC,0.4,2.09,372.85,0.04,0.18,7.36,4.34,31.95,1.53,178.23,9.43,1681.43,17.83,80.42,2090.82
S100A8_TLR4,ESCA,88.88,0.0,0.0,0.0,10.18,16.44,1.05,17.28,0.32,781.58,6.19,4837.64,0.0,89.5,5405.07
S100A8_TLR4,GBM,3.58,2.83,2639.85,0.05,0.34,5.75,3.71,21.34,0.1,932.24,21.05,19626.35,11.8,87.72,22373.02
S100A8_TLR4,HNSC,967.36,0.0,0.0,0.0,7.66,16275.47,1.01,16454.2,33.09,7486.15,3.94,29466.94,0.0,59.26,49728.86
S100A8_TLR4,KIRC,6.16,2.38,114.97,1.33,9.59,6.56,5.66,37.14,3.37,48.34,17.17,829.95,10.43,75.28,1102.44
S100A8_TLR4,KIRP,2.01,0.4,23.55,0.14,3.06,5.86,4.05,23.71,3.96,58.31,9.12,532.06,3.94,88.91,598.43
S100A8_TLR4,LGG,1.49,3.9,62.71,1.36,6.7,5.75,3.71,21.34,4.99,16.09,19.24,309.52,14.65,72.31,428.05
S100A8_TLR4,LIHC,0.97,0.34,7.11,0.26,2.8,16.46,2.35,38.67,30.38,21.2,3.66,77.63,5.59,60.98,127.31
S100A8_TLR4,LUAD,7.17,0.18,20.2,0.05,3.09,105.82,10.54,1115.5,46.54,114.79,10.33,1185.65,0.84,49.47,2396.64
S100A8_TLR4,LUSC,54.44,0.22,337.46,0.08,3.0,158.45,10.93,1732.01,11.38,1510.54,8.4,12682.0,2.22,83.32,15220.71
S100A8_TLR4,MEDIAN,,,,0.07,2.9,,,,5.59,,,,4.3,,
S100A8_TLR4,OV,3.46,0.16,14.55,0.06,3.49,11.54,2.73,31.53,3.59,90.32,8.87,801.25,1.66,91.2,878.56
S100A8_TLR4,PAAD,0.34,0.0,0.0,0.0,0.27,40.8,6.52,266.15,24.15,94.84,8.78,832.9,0.0,75.58,1102.06
S100A8_TLR4,PRAD,0.14,0.18,2.14,0.03,0.88,6.43,2.41,15.49,21.46,11.77,4.58,53.88,2.97,74.66,72.17
S100A8_TLR4,SKCM,1.63,0.59,38.02,0.12,2.12,15.31,4.26,65.24,8.41,64.93,10.09,655.37,4.9,84.46,776.0
S100A8_TLR4,STAD,6.52,0.45,11.36,1.02,16.37,22.7,1.86,42.24,14.74,25.43,7.2,183.14,3.96,63.91,286.56
S100A8_TLR4,THCA,0.0,0.41,14.4,0.0,0.0,4.83,2.09,10.1,6.18,35.1,3.96,138.84,8.81,85.0,163.34
S100A8_TLR4,UCEC,11.24,0.38,26.45,1.24,12.42,2.49,2.9,7.23,2.09,69.36,3.81,264.42,7.66,76.59,345.26
S100A9_TLR4,BLCA,116.94,0.62,1911.79,0.5,3.08,82.04,3.2,262.61,1.82,3085.17,3.81,11766.45,13.22,81.38,14459.31
S100A9_TLR4,BRCA,4.73,0.61,228.82,0.06,1.09,39.07,9.54,372.77,7.71,374.2,11.16,4175.49,4.73,86.4,4832.76
S100A9_TLR4,CESC,304.96,0.0,0.0,0.0,1.41,8.8,3.88,34.16,0.05,21289.17,3.44,73302.94,0.0,98.54,74387.14
S100A9_TLR4,CRC,10.32,2.09,616.62,0.6,2.7,20.18,4.34,87.61,2.43,294.76,9.43,2780.75,17.11,77.16,3603.9
S100A9_TLR4,ESCA,163.81,0.0,0.0,0.0,10.33,44.19,1.05,46.44,0.47,1414.6,6.19,8755.74,0.0,89.2,9816.12
S100A9_TLR4,GBM,9.08,2.83,4217.64,0.07,0.53,10.57,3.71,39.23,0.11,1489.42,21.05,31356.62,11.77,87.51,35830.37
S100A9_TLR4,HNSC,1631.88,0.0,0.0,0.0,9.0,20816.37,1.01,21044.97,29.49,11150.89,3.94,43892.08,0.0,61.51,71360.44
S100A9_TLR4,KIRC,10.54,2.38,198.95,1.3,9.4,15.06,5.66,85.26,4.43,83.65,17.17,1436.24,10.33,74.55,1926.56
S100A9_TLR4,KIRP,5.57,0.4,75.53,0.12,2.69,13.87,4.05,56.19,2.97,187.01,9.12,1706.44,3.99,90.23,1891.2
S100A9_TLR4,LGG,2.42,3.9,127.69,1.11,5.46,10.57,3.71,39.23,4.6,32.76,19.24,630.22,14.97,73.87,853.13
S100A9_TLR4,LIHC,3.43,0.34,32.61,0.25,2.73,24.7,2.35,58.03,12.6,97.23,3.66,356.04,7.08,77.33,460.41
S100A9_TLR4,LUAD,67.12,0.18,120.89,0.11,6.3,292.39,10.54,3082.14,28.01,687.16,10.33,7097.41,1.1,64.49,11005.51
S100A9_TLR4,LUSC,154.0,0.22,818.15,0.09,3.55,319.73,10.93,3494.82,9.6,3662.23,8.4,30746.96,2.25,84.5,36387.25
S100A9_TLR4,MEDIAN,,,,0.11,3.11,,,,4.51,,,,4.36,,
S100A9_TLR4,OV,21.29,0.16,46.99,0.12,6.52,24.95,2.73,68.13,2.35,291.68,8.87,2587.54,1.62,89.38,2894.93
S100A9_TLR4,PAAD,4.52,0.0,0.0,0.0,1.48,121.04,6.52,789.66,29.43,211.09,8.78,1853.85,0.0,69.09,2683.24
S100A9_TLR4,PRAD,0.76,0.18,8.66,0.05,1.26,19.51,2.41,47.0,16.95,47.63,4.58,218.03,3.12,78.62,277.31
S100A9_TLR4,SKCM,5.97,0.59,91.55,0.18,3.13,44.61,4.26,190.08,9.88,156.35,10.09,1578.15,4.76,82.05,1923.5
S100A9_TLR4,STAD,31.49,0.45,22.97,1.97,31.78,42.63,1.86,79.34,11.12,51.45,7.2,370.53,3.22,51.92,713.67
S100A9_TLR4,THCA,0.25,0.41,52.49,0.02,0.17,8.42,2.09,17.61,3.05,127.99,3.96,506.2,9.09,87.67,577.41
S100A9_TLR4,UCEC,49.97,0.38,43.16,2.73,27.29,4.82,2.9,13.99,2.0,113.17,3.81,431.45,6.18,61.8,698.19
SEMA3A_NRP2,BLCA,0.1,0.49,0.98,0.05,3.76,1.43,11.43,16.36,18.32,2.0,34.23,68.53,1.1,76.76,89.28
SEMA3A_NRP2,BRCA,0.09,3.44,3.72,0.58,4.28,1.67,10.52,17.58,34.36,1.08,25.33,27.39,7.26,53.52,51.17
SEMA3A_NRP2,CESC,1.64,4.77,1.39,15.68,48.77,0.3,39.81,11.98,24.06,0.29,14.85,4.32,2.79,8.69,49.79
SEMA3A_NRP2,CRC,1.26,1.15,4.38,0.6,23.61,1.22,6.19,7.56,3.1,3.79,45.54,172.67,1.8,70.89,243.57
SEMA3A_NRP2,ESCA,0.7,3.09,10.76,1.12,15.42,0.61,4.13,2.52,1.3,3.48,42.57,148.28,5.56,76.59,193.59
SEMA3A_NRP2,GBM,0.98,12.48,35.65,6.19,18.48,1.02,7.01,7.16,3.61,2.86,37.27,106.41,17.99,53.72,198.09
SEMA3A_NRP2,HNSC,0.63,11.32,19.08,8.92,17.01,0.39,9.46,3.7,4.63,1.69,21.58,36.37,23.89,45.55,79.85
SEMA3A_NRP2,KIRC,0.0,3.09,2.63,0.0,0.0,0.18,3.25,0.57,1.39,0.85,44.47,37.78,6.41,92.19,40.98
SEMA3A_NRP2,KIRP,0.05,0.5,0.15,0.41,12.82,0.15,2.62,0.4,6.39,0.31,15.78,4.83,2.47,77.92,6.19
SEMA3A_NRP2,LGG,0.03,13.05,33.22,0.47,0.57,1.02,7.01,7.16,8.81,2.55,15.72,40.02,40.89,49.26,81.24
SEMA3A_NRP2,LIHC,0.0,0.37,0.16,0.0,0.0,0.03,1.98,0.06,1.14,0.44,11.67,5.17,3.04,95.82,5.39
SEMA3A_NRP2,LUAD,0.9,4.47,16.67,2.28,15.4,0.85,19.11,16.26,9.2,3.73,30.17,112.59,9.43,63.69,176.78
SEMA3A_NRP2,LUSC,0.99,5.55,13.73,4.04,20.34,1.02,19.49,19.8,14.58,2.48,27.93,69.16,10.11,50.93,135.8
SEMA3A_NRP2,MEDIAN,,,,0.96,14.09,,,,6.31,,,,7.96,,
SEMA3A_NRP2,OV,1.86,7.9,12.97,9.79,40.64,0.17,43.27,7.4,4.94,1.64,32.8,53.84,8.66,35.96,149.72
SEMA3A_NRP2,PAAD,0.56,6.65,13.29,3.74,15.4,1.04,12.43,12.98,12.95,2.0,27.38,54.75,13.26,54.65,100.19
SEMA3A_NRP2,PRAD,0.0,0.42,0.32,0.0,0.0,0.88,7.85,6.89,43.68,0.75,11.35,8.56,2.03,54.29,15.77
SEMA3A_NRP2,SKCM,1.35,58.45,206.0,14.92,11.6,0.43,50.68,21.84,4.14,3.52,45.45,160.21,39.01,30.34,528.11
SEMA3A_NRP2,STAD,0.65,2.02,6.25,0.8,15.37,0.8,12.64,10.12,6.24,3.1,38.62,119.6,3.85,73.74,162.21
SEMA3A_NRP2,THCA,0.0,7.61,9.2,0.0,0.0,0.52,7.59,3.95,4.35,1.21,64.22,77.67,10.13,85.51,90.83
SEMA3A_NRP2,UCEC,0.7,7.18,13.47,7.6,12.77,0.68,24.76,16.86,25.34,1.88,12.07,22.65,20.25,34.04,66.54
SEMA3C_PLXND1,BLCA,22.75,11.91,157.38,5.69,49.47,20.32,29.98,609.24,12.8,13.22,103.53,1368.64,3.31,28.74,4761.36
SEMA3C_PLXND1,BRCA,20.47,40.22,1125.79,7.25,18.23,66.34,67.93,4506.63,39.68,27.99,101.13,2830.53,9.91,24.92,11357.04
SEMA3C_PLXND1,CESC,8.16,23.71,189.04,6.61,13.39,18.13,97.66,1770.76,60.47,7.97,48.03,382.95,6.46,13.08,2928.48
SEMA3C_PLXND1,CRC,12.6,10.69,171.37,4.37,35.67,16.85,16.49,277.9,9.02,16.03,87.25,1398.38,5.56,45.38,3081.4
SEMA3C_PLXND1,ESCA,10.0,11.45,248.25,5.69,23.25,17.18,9.72,167.01,8.3,21.68,46.79,1014.49,12.34,50.42,2012.04
SEMA3C_PLXND1,GBM,0.71,32.8,193.51,2.13,7.15,4.07,35.53,144.65,13.28,5.9,110.18,650.04,17.76,59.67,1089.3
SEMA3C_PLXND1,HNSC,6.34,15.72,405.94,4.86,14.39,5.31,8.92,47.38,2.31,25.82,46.6,1203.02,19.79,58.65,2051.17
SEMA3C_PLXND1,KIRC,2.75,27.84,181.74,2.54,24.78,8.43,28.39,239.31,7.92,6.53,271.74,1773.99,6.02,58.74,3020.31
SEMA3C_PLXND1,KIRP,2.27,8.05,32.52,2.22,26.48,6.0,27.54,165.09,20.13,4.04,95.88,387.17,3.97,47.2,820.28
SEMA3C_PLXND1,LGG,1.01,12.84,61.14,1.54,13.0,4.07,35.53,144.65,17.09,4.76,108.68,517.66,7.22,61.15,846.53
SEMA3C_PLXND1,LIHC,0.0,16.61,19.3,0.0,0.0,0.18,12.19,2.21,1.59,1.16,100.82,117.1,13.92,84.49,138.6
SEMA3C_PLXND1,LUAD,3.42,39.45,731.87,3.24,9.26,8.78,92.69,813.97,19.59,18.55,112.69,2090.46,17.61,50.3,4156.01
SEMA3C_PLXND1,LUSC,6.3,16.21,340.85,2.84,13.81,10.42,95.92,999.1,27.79,21.03,78.78,1656.44,9.48,46.08,3594.96
SEMA3C_PLXND1,MEDIAN,,,,3.04,13.6,,,,13.04,,,,9.7,,
SEMA3C_PLXND1,OV,2.99,16.6,465.31,1.26,7.25,14.38,32.0,460.24,11.72,28.02,95.22,2668.18,11.85,67.93,3928.04
SEMA3C_PLXND1,PAAD,2.07,22.33,815.9,0.92,3.57,11.33,70.36,797.45,15.99,36.53,86.23,3150.37,16.36,63.16,4987.96
SEMA3C_PLXND1,PRAD,8.25,5.14,189.06,1.74,12.24,36.87,15.66,577.25,23.73,36.76,36.08,1325.96,7.77,54.51,2432.35
SEMA3C_PLXND1,SKCM,16.53,28.9,172.29,11.49,58.82,3.59,50.23,180.37,4.34,5.96,147.96,882.01,4.14,21.21,4158.98
SEMA3C_PLXND1,STAD,4.51,14.2,346.72,3.79,10.93,8.42,11.46,96.5,5.7,24.41,40.96,999.86,20.49,59.09,1692.09
SEMA3C_PLXND1,THCA,0.0,43.06,106.9,0.0,0.0,1.0,24.04,24.06,5.77,2.48,115.25,286.13,25.63,68.6,417.09
