sample,ILC_LumA_T,IDC_LumB_T,IDC_LumA_T,IDC_Basal_T,IDC_Her2_T
RAB32,4.2415,4.0875,4.0449,4.5952,4.0073
METTL23,4.6136,5.1115,4.6662,4.848,4.597
HNF4G,-1.685,-0.8863,-1.2485,-1.5105,-3.458
SLC26A5,-3.1714,-4.2934,-3.6259,-5.5735,-6.04
PQLC3,4.3241,4.301,4.5265,3.8581,4.1335
FAM134C,4.8281,4.8726,4.9598,4.2033,4.2465
BAX,6.0091,5.9741,5.8953,6.2587,5.8794
COL14A1,5.4832,2.7182,4.3296,2.2452,2.7878
HIST1H3E,0.282,0.679,0.8607,0.058,0.8844
DDRGK1,5.5614,5.6248,5.5348,5.0922,5.5367
UTP14A,3.4075,3.6725,3.5881,3.906,3.5844
ZDHHC18,3.3766,3.4054,3.2526,3.9938,3.2359
HS2ST1,2.704,2.9158,2.8651,3.0637,2.9328
FTL,10.9943,10.9218,10.684,11.1101,11.3227
LRRC42,4.2396,4.2299,4.3858,4.7887,4.1384
ZNF100,1.5414,1.7272,1.5806,1.0293,1.4223
AFP,-0.0732,-2.7274,-2.3147,-5.0116,-1.4305
CD302,2.9051,2.1894,2.6418,2.043,1.7786
YTHDF3,4.1922,4.6492,4.426,4.1962,4.3663
HOXA7,1.2905,-0.4035,0.5954,-0.1187,-0.1829
MB,4.4465,4.9924,4.5693,3.7215,5.1292
PPT2,3.1442,2.8906,2.8984,2.7073,2.526
UQCRC2,6.7093,6.7701,6.8145,6.6184,6.4945
KCNJ8,2.2618,1.6116,1.8057,1.595,1.8739
KCTD13,3.6554,3.606,3.6911,3.5047,3.5553
DPH3,2.9893,3.2594,3.1499,3.2297,3.3715
FAM19A1,-4.6082,-5.5735,-5.5735,-5.0116,-5.5735
DFFA,3.5355,3.4875,3.5935,4.0073,3.4142
HLA-DMA,5.9936,5.664,5.546,5.7538,5.6711
IRX6,-1.9389,-4.035,-3.0469,-0.7108,-2.7274
PLD1,1.814,1.1016,1.544,2.727,1.4884
AVPR1B,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ALDH9A1,6.0663,5.9249,5.8598,5.7557,5.734
ZNF665,1.5828,1.0949,1.2875,0.7321,0.517
OR1C1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
C1orf216,2.827,2.8219,2.8661,2.7401,2.5397
PM20D1,-3.0469,-4.2934,-3.816,-4.2934,-3.6259
PUS1,3.4204,3.4582,3.1426,3.8581,3.5514
SSNA1,5.8965,5.6353,5.5947,5.6476,5.796
ZNF461,1.7786,1.7316,1.6397,1.6281,1.3788
PTPRN2,0.7578,0.0589,0.3403,-1.5105,-0.3114
C19orf47,3.2244,2.9756,3.0454,3.5815,3.0816
SKIV2L,4.5552,4.3941,4.346,4.5286,4.3864
COL6A3,7.2748,6.6389,7.1732,5.8263,6.8869
HDDC3,3.7571,3.8076,3.6899,3.3535,3.3814
UTP15,2.6828,2.8452,2.8442,2.3732,2.5739
WDFY1,3.864,3.833,3.8526,3.5791,3.8719
APOF,-2.2113,-2.687,-2.4272,-9.9658,-3.0469
ATP1A3,-1.7322,-1.0559,-1.7809,-1.9942,-1.431
CXorf21,0.527,0.2702,0.184,0.2522,0.542
SMIM10,1.2815,0.4284,1.015,1.1382,0.2277
SEMA6D,0.8844,-0.6876,0.374,-1.2828,-0.462
FOPNL,4.3177,4.641,4.568,4.182,4.2384
ZFP69,1.3196,1.3426,1.4308,1.2756,1.0362
SULT1C2,-2.1779,-1.7818,-2.2447,-2.2447,-1.0587
DST,5.2812,4.517,5.128,4.8758,4.6473
AKR7L,0.2642,-0.0204,0.184,-2.0529,-1.0562
ANGPT2,1.6092,1.3735,1.882,1.3791,2.138
DNHD1,0.6969,0.527,0.3231,0.4016,0.4602
KLHDC10,3.538,3.6697,3.6669,3.417,3.3619
LRP6,2.5213,2.1493,2.3648,2.8955,1.9414
CASP7,4.0922,4.2488,4.1473,3.5262,4.057
RBM3,7.879,7.6499,7.6954,7.3534,7.3942
XPR1,3.4576,3.5078,3.5286,2.982,3.4868
CIR1,4.7385,4.4983,4.6617,4.5015,4.4774
PIP5K1A,4.9062,4.9369,4.833,5.0,4.5823
ZNF287,1.6164,1.8057,1.7723,1.0711,1.3022
BEX4,5.1156,4.6711,4.9038,4.3597,4.7546
PTPN22,0.346,0.2028,0.058,0.9191,0.4366
ALAD,4.7442,4.2714,4.5442,3.5766,4.109
TMBIM1,5.9396,5.7773,5.7842,6.073,5.8086
ACTG1,11.0208,11.0868,11.0632,11.1026,11.0277
FAM171A1,2.1131,0.8368,1.5266,4.3779,1.1673
FAHD2A,3.2996,3.1561,3.0842,3.9774,3.4316
ADORA1,1.6898,1.6044,1.9525,2.376,1.4166
LGALS9C,-1.3548,-2.7768,-1.8314,-3.6259,-2.5914
SACM1L,3.9883,3.9473,4.0265,3.5486,3.5455
COA6,5.195,5.207,4.9734,5.5574,5.1646
GOLGA6L6,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
MRC2,5.2692,4.3058,4.9378,4.591,4.4882
TXLNA,4.3126,4.3241,4.4246,4.5211,4.2714
H2AFZ,7.2806,8.1202,7.4434,8.1923,8.0228
SLC10A6,-1.6172,-2.6811,-1.9379,-2.1779,-2.1154
ABHD17A,4.7479,4.1335,4.3657,4.1302,4.1168
DPM3,6.1227,5.7553,5.917,6.31,5.8588
B4GALNT1,-0.4922,0.1322,0.044,1.1706,-0.2328
JPH2,-0.6758,-1.9379,-0.7588,0.03,-0.7346
FAM198B,5.5116,5.0742,5.743,2.9984,4.3493
NADK2,3.8304,3.9796,3.8441,3.38,3.5257
CDC5L,3.145,3.5155,3.3626,3.705,3.402
RNF38,3.4784,3.2351,3.4007,3.4907,3.0797
ZBTB41,3.1515,3.1269,2.909,2.3564,2.4556
EML5,0.5519,0.4125,0.4709,-0.1993,0.2696
FAM149B1,3.7214,3.6742,3.6737,3.3134,3.3645
WT1,-2.4272,-1.7354,-2.0236,-1.0862,-1.3567
MYF5,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
MGME1,3.7798,4.1206,3.7836,4.1136,4.0576
GATC,3.1303,3.5324,3.3436,3.0893,3.19
MS4A10,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
UPK3BL,4.2491,4.0798,3.843,4.9819,3.7151
SLC25A21,-0.482,-0.8086,-0.5544,-1.7809,-0.8998
IGFL2,-0.216,0.2822,0.6604,-0.1993,0.8919
KRTAP4-1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
RHOBTB1,2.6895,2.5634,2.6184,2.296,2.0412
NENF,6.5439,6.3774,6.3848,6.2774,6.0611
MRGPRX3,-2.6811,-5.5735,-3.458,-3.6259,-5.5735
ARID5B,3.6101,2.6996,3.0568,2.9747,3.0923
CXCR2,-2.6349,-3.0469,-2.7274,-2.9324,-3.1714
PRH2,-4.2934,-9.9658,-4.2934,-5.0116,-9.9658
HBG1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
CNOT10,4.0981,4.3466,4.1724,4.1852,3.9658
PPP1CA,6.7092,7.0787,6.8468,7.0514,7.1614
CALM1,7.0472,7.3894,7.2031,7.1734,7.7305
DEFB131,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
RFC3,2.6815,3.3214,2.7433,3.5523,3.3536
IL17RE,3.1398,2.611,2.202,3.5718,3.2149
SESN2,2.5363,2.3237,2.5087,1.9527,2.3422
PHF6,2.8799,3.2774,3.0533,3.3379,3.3098
BCL6B,2.5719,1.6603,2.167,1.6649,1.8221
OR4C15,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
C10orf67,-5.5735,-6.5064,-6.04,-5.5735,-9.9658
SMARCC1,4.5877,4.8079,4.8266,5.0497,4.8903
INO80B,4.1388,3.7486,3.8436,4.0046,3.602
CCDC177,-4.2934,-4.035,-4.6082,-6.5064,-4.2934
REPS2,3.158,3.6388,3.3661,1.5366,2.0912
RNFT1,2.972,3.4634,3.2251,2.9205,3.4074
ARHGAP17,4.5919,4.5626,4.5814,4.6921,4.6253
DUSP9,-3.6259,-3.3076,-3.816,-0.1031,-1.966
CECR1,4.1851,3.8192,3.5718,3.8847,4.1014
BASP1,4.2095,4.1878,4.2476,3.9654,4.0474
TM9SF4,4.7892,5.079,4.94,4.845,4.8473
FER1L5,-4.035,-5.0116,-4.6082,-6.5064,-5.0116
ASXL1,4.0463,3.9996,3.8446,4.402,3.7242
MRVI1,1.9546,1.4038,1.8976,0.9642,1.3109
RBPMS,6.1468,5.2591,5.7356,5.1161,5.0223
ANP32B,6.6058,6.8205,6.4716,7.2909,6.7485
GHDC,4.2138,3.7442,4.1804,2.9128,3.2396
TRIM61,-3.1714,-3.3076,-3.0469,-3.3076,-2.7274
PPIAL4D,-5.0116,-3.1092,-3.6259,-3.0469,-3.458
ARSG,3.3626,3.3703,3.4378,0.8488,1.9855
ZNF281,3.6058,3.5541,3.499,2.77,2.9586
CXorf23,1.8624,1.8384,1.882,1.3511,1.5506
NFIB,3.6,2.6482,2.8412,4.8709,3.5516
DPY19L2,-0.7348,-1.1976,-1.3183,-1.0262,-1.8575
ZNF493,2.2526,1.7294,1.9206,1.2815,1.4388
DHRS4,4.9,4.532,4.4919,3.8925,4.6367
CNEP1R1,2.4104,2.6313,2.6043,2.5388,2.7774
NMNAT1,2.1329,1.8801,2.1427,1.7053,1.7969
RNF111,3.2936,3.3105,3.4163,2.945,3.1311
TTC31,3.4183,3.378,3.3017,3.1112,3.3111
BCL2L15,-1.7086,-2.0236,-1.5951,-2.3884,-1.6254
NT5C1B,-2.6349,-3.0469,-2.6349,-2.8262,-2.9896
CD40LG,-0.1828,-1.6394,-1.4902,-0.6193,-0.8469
NOL7,5.1617,5.524,5.3539,5.6971,5.3713
PPIL1,3.963,4.7206,4.2488,4.867,4.4044
TPRG1L,4.8182,4.51,4.7896,4.6118,4.6597
NRG4,-2.5479,-2.8262,-2.6349,-1.9379,-2.3147
TMEM120B,1.8403,2.0792,1.884,1.8564,1.9111
GKN2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
DEFB108B,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
PACSIN3,4.4272,3.9185,4.0977,4.8309,3.9608
B3GALT4,2.8681,2.5524,2.695,2.4985,2.3909
PLD4,2.7084,0.6834,1.772,0.6608,0.7314
PRKCH,3.794,3.2944,3.4874,3.1095,3.905
ARF1,8.416,8.6522,8.5328,8.7024,8.6226
PATL2,-0.6643,-0.7959,-1.2481,-0.0425,-0.2675
OR51B4,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
GPX1,7.6678,7.4242,7.4703,7.4443,7.4712
DLX2,-0.4522,-4.035,-2.8262,-4.035,-4.0547
KCNMB3,1.1576,0.9153,0.9826,0.8488,0.5811
BFAR,5.0623,5.112,5.1997,4.849,4.7937
CACNA1I,-3.3828,-3.6259,-3.458,-3.816,-3.721
FAM205A,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658
PPIAL4F,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ETFDH,3.6972,3.7302,3.6933,3.1095,3.3734
CTSG,1.7952,-0.711,0.5518,-1.8836,-0.6304
ZNF608,2.2872,0.8526,1.882,1.7403,1.432
TRAFD1,4.4787,4.693,4.6514,4.1962,4.5892
EPB41L3,3.6742,3.2189,3.2519,2.676,3.0073
SLC22A14,-4.6082,-5.5735,-5.5735,-5.0116,-5.0116
DES,0.0645,-2.5479,-1.5951,-0.8339,-1.7566
SMPDL3A,2.6162,2.4895,2.4727,2.1476,3.0334
GGT1,3.4687,4.0657,3.3342,3.7529,5.2121
FAM117A,3.1924,2.602,2.9338,2.4386,2.6162
BMP4,2.9412,2.3606,2.7117,0.1124,2.5922
TRAPPC3,5.5502,5.5284,5.6243,5.98,5.531
XRCC5,6.7294,6.9341,6.8876,6.7561,6.9668
PNMA1,4.2518,4.3456,4.3082,3.6589,3.7884
NSUN6,2.4238,2.348,2.3816,2.4386,2.0517
SZT2,2.5325,2.1638,2.3323,2.4144,2.1525
SLC4A3,1.2606,0.8286,0.9605,1.7403,1.1082
AASDHPPT,3.6759,4.0095,3.9874,3.6816,4.034
TUBB2A,4.6574,4.408,4.5705,4.641,4.6548
RELN,-1.3183,-3.9255,-2.9324,-2.9324,-3.0469
MRPS28,5.2089,6.0398,5.5765,5.3129,5.4853
ZNF783,2.3308,2.0236,1.9245,2.4117,1.4937
POF1B,0.4964,-0.5357,-0.2846,-1.3921,2.0958
BPTF,4.7269,5.0499,4.843,4.5663,4.8711
AGRP,-5.0116,-4.6082,-5.0116,-5.0116,-3.816
COPS9,7.4139,7.152,7.2108,6.5653,6.674
STARD13,2.6772,1.9784,2.5622,1.4228,1.4547
IGSF8,5.279,5.1472,5.2074,5.1215,5.1194
FCGR2A,4.2902,4.2638,4.2231,4.2488,4.1762
FOXQ1,-2.7768,-3.816,-2.8262,-2.0529,-2.9896
CHIC2,3.325,3.3141,3.3126,3.9956,3.3577
SDCCAG8,4.4796,4.2899,4.3006,3.9127,3.7646
SNAI2,3.415,2.7205,3.325,3.0234,3.0644
ACTA2,8.1358,7.4498,8.159,7.3366,7.7264
HSD11B1,1.2147,-0.0801,0.1584,0.7407,0.3944
ANGPT1,-0.1752,-1.0262,-0.5756,-0.0425,-0.5544
ADH1B,4.5252,-0.088,2.3599,-0.6193,0.0852
PWP2,0.8842,0.779,0.5762,1.9188,1.595
LPL,3.2675,1.4325,2.1925,2.5163,1.2707
GCC1,3.145,3.2966,3.2796,3.1095,3.1295
RMDN1,4.318,5.076,4.5336,4.5904,4.8273
RXFP1,-5.0116,-4.6082,-4.6082,-3.816,-4.2934
HES1,5.5785,4.9695,5.252,4.9603,5.2851
POC1B,2.8501,3.2534,3.048,2.4306,2.6572
ENAM,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658
ARL17A,2.2113,2.123,2.108,1.5316,1.4432
HDAC3,5.2011,5.0584,5.0762,5.0144,4.9479
ORMDL3,5.8726,6.0793,5.796,4.8675,6.7455
TMEM241,3.8116,4.2177,3.9764,3.3731,3.7022
SYT11,1.9452,1.2666,1.514,1.4547,1.4038
PGM3,3.6742,4.1198,3.9723,4.0756,4.2848
PRIMA1,-0.5125,-0.5758,-0.8998,-0.1504,-0.2008
TAS2R3,-5.0116,-5.5735,-4.6082,-6.5064,-9.9658
SCRT1,-6.5064,-6.5064,-6.5064,-6.5064,-9.9658
ZNF154,-0.3659,-1.3365,-0.4921,-1.7809,-1.3552
COPB2,6.3109,6.722,6.565,6.6591,6.627
NT5DC4,-5.5735,-5.5735,-6.5064,-3.1714,-5.0116
CPA4,-0.4325,-1.0559,-1.2485,1.6875,0.8432
ACSL6,-1.5951,-2.0529,-1.9942,-0.5125,-2.0529
MTRNR2L4,-5.2926,-5.0116,-5.5735,-6.5064,-5.5735
HS3ST5,-6.5064,-5.5735,-6.5064,-6.5064,-9.9658
C22orf42,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658
LEMD3,2.8965,3.08,2.992,2.7847,2.8452
MYH11,3.9756,1.6232,3.2236,1.6187,2.0438
DOK7,1.177,0.5858,1.7031,-1.8314,-2.1794
ISCA2,4.256,4.3238,4.2239,3.8259,4.3128
ZNF280D,3.9208,3.6225,3.8254,3.3993,3.309
CAD,4.0118,3.833,3.735,4.6341,4.0032
HIST1H2BJ,0.3403,1.7846,1.4652,2.4544,2.488
SAGE1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ENDOU,-2.1779,-3.9255,-2.9324,-3.816,-3.6259
CD320,4.3765,4.3806,4.1044,4.6294,3.6948
USP17L12,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TMEM55B,4.1256,4.1808,4.0846,3.7961,4.1788
NUDT17,1.8242,1.4518,1.3509,1.4494,1.0914
DOCK4,2.004,1.5439,1.7807,1.8604,1.7294
COG5,3.5772,3.66,3.7232,3.5498,3.6247
BCAP31,7.2056,7.6932,7.5863,7.6549,7.698
KRTAP24-1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
UBC,9.6719,9.8413,9.8866,9.6976,9.8965
H1FX,6.3532,6.1977,5.9204,5.9282,5.695
BHLHA9,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
HIST1H4F,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
PCCB,4.7746,5.2834,5.0251,4.835,4.917
EPHB2,1.1991,0.9826,0.7321,1.2875,1.2574
ADARB2,-2.3147,-3.2395,-2.7274,-3.816,-3.6259
P4HA3,2.3606,1.736,2.2989,0.8164,1.9912
GSTP1,7.0736,5.6974,6.5625,8.7333,6.6604
ZNF285,0.7276,0.7742,0.7999,0.9191,0.4915
ZNF524,3.7819,3.1204,3.3264,3.4237,3.2249
SDC2,5.1462,5.3191,5.5744,5.8956,4.7124
MC3R,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TNFRSF1B,3.5941,2.6579,2.8542,3.3591,2.8442
ZNF350,2.9608,2.8502,2.9404,2.2901,3.4856
NAXE,6.7657,6.8324,6.7392,6.8439,6.4902
BMT2,1.6535,1.6116,1.6466,1.8323,1.4885
CA6,-5.5735,-9.9658,-9.9658,-1.8836,-9.9658
PNMA5,-5.5735,-6.5064,-6.5064,-5.5735,-8.2361
RNASE3,-5.0116,-5.5735,-5.2926,-4.2934,-5.5735
FBXL4,2.159,2.2512,2.2828,2.4597,1.9874
OR2A5,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TMPRSS6,0.246,0.2338,1.1214,-4.6082,-1.6636
PRPS1L1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ZNF254,2.5634,2.413,2.6794,1.9264,2.4412
MSLN,-1.7566,-2.9324,-2.146,3.9012,-3.0519
ACVR2A,2.081,1.5538,1.9471,1.7995,2.1558
DHFR,3.4457,4.3779,3.677,3.6994,4.1914
GPR27,2.1986,1.9712,2.1782,1.3283,1.094
PTCHD4,-2.3147,-2.6349,-2.146,-3.458,-3.1714
MLLT3,3.4556,2.9318,3.2699,2.5561,2.6394
MRS2,3.6457,4.01,3.7192,4.1069,3.944
SNX4,4.2247,4.537,4.42,4.3342,4.3085
RRAD,0.3849,-1.9942,-0.4521,-1.0862,-1.071
KRTAP10-2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
COL9A1,-4.035,-6.5064,-5.5735,-2.9324,-6.04
PSG11,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
NR1H2,5.1522,4.7362,4.8677,4.8084,4.9404
RBP4,3.2804,0.346,1.3449,1.5165,0.9898
TSHR,-2.8262,-3.3076,-3.3076,-2.2447,-2.5914
SLC7A3,-1.3365,-5.5735,-3.6259,-5.0116,-6.5064
NTMT1,4.5889,4.6023,4.538,4.6218,4.7687
ASPSCR1,4.1708,4.0829,3.982,4.1587,4.0006
LYSMD1,2.7931,2.9581,2.7379,2.9765,1.9239
GABRA2,-2.9324,-5.0116,-4.2934,-6.5064,-5.2926
OTOP2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
OR11H2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
HMGB1,7.937,8.003,7.8926,8.1857,8.1318
CCNF,2.1213,3.2197,2.5499,2.9432,3.06
RSPH9,-1.4902,-1.2654,-1.4699,-1.4305,-1.5951
THSD1,1.4147,0.3962,1.0222,-0.013,0.5069
CD82,5.3961,4.7459,4.8836,5.9348,5.2854
OR14C36,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
MADD,4.0807,3.9079,3.8983,3.2677,3.5875
ZSCAN30,2.7497,2.4332,2.6066,2.2723,1.7953
KDM5C,4.7624,4.7627,4.756,4.8505,4.8256
UBQLN1,5.3646,5.7445,5.6022,5.5119,5.6872
COPS8,5.3699,5.443,5.4557,4.9695,5.349
FNDC10,2.79,2.7615,2.6985,2.7679,2.5387
MRGPRE,-4.2934,-6.5064,-4.4508,-4.035,-6.5064
ZC2HC1A,2.2283,2.61,2.2482,2.0742,2.216
GNPTG,5.541,5.1732,5.5049,4.7709,5.0718
TMOD4,-2.2113,-2.6349,-2.5479,-2.114,-2.9324
PCP4,-0.8469,-1.6622,-1.9379,-0.5543,-2.5914
TCP11L1,1.7828,2.0483,1.8938,2.2082,1.7974
ACTL6B,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
STOML3,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
DEPDC1B,0.3629,1.9073,0.527,2.1606,1.716
VPS35,4.8876,5.433,5.2724,5.5002,5.6846
DCAF12L2,-2.6349,-4.2934,-3.3076,-4.2934,-4.4508
ATXN2L,5.4466,5.426,5.4954,5.7706,5.3001
GRID2IP,-2.5479,-2.3147,-2.4659,-3.3076,-3.0469
CEP68,2.9042,2.4184,2.6545,2.2237,2.2268
GJB2,3.1548,3.7286,4.1244,3.5473,3.6446
TCF3,5.3359,4.9024,4.9663,5.6273,5.4482
SLC6A13,-4.6082,-5.0116,-5.0116,-5.5735,-4.6082
DHPS,5.5067,5.565,5.499,5.0841,5.0988
B9D1,3.5256,3.3835,3.4438,2.9839,2.9347
EVA1B,5.0046,3.4932,4.6203,2.982,2.9165
CYP4F3,-3.6259,-3.3828,-3.3076,-4.6082,-4.8099
SCARF1,1.703,0.6608,1.0363,0.9419,0.7996
PPARD,3.5162,3.4752,3.3856,4.0488,3.6731
ZCRB1,5.5248,5.816,5.6178,5.3527,5.4218
BPGM,3.7788,3.9445,3.907,3.8827,3.8182
KDM8,1.5112,1.2726,1.4093,0.4865,1.1216
LCE1C,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SLC5A6,4.898,5.1042,4.8186,6.3011,5.6084
OR2B11,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ING4,5.0704,4.866,4.8792,5.1065,4.3527
ZNF737,2.7528,2.6613,2.7051,1.3511,2.9922
FZD9,-3.6259,-4.035,-3.816,0.3907,-3.3076
CCL19,5.094,2.2158,3.5286,4.2165,3.9156
MAVS,3.3076,3.2736,3.2759,2.8936,3.158
CACNA1F,-1.165,-2.9896,-1.8314,-4.2934,-4.2934
HPS3,3.6006,4.1069,3.8376,3.6509,3.6988
RBBP8,4.3353,4.4216,4.7786,4.3862,3.5082
CALCOCO2,5.6521,6.0959,5.9667,5.131,5.4312
POTEB,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
GPR89B,3.7469,3.9468,3.8167,4.1931,3.7
FARSB,3.7454,4.1203,3.7857,4.2503,4.0077
C10orf142,-4.2934,-5.5735,-5.0116,-5.0116,-5.5735
SLC8A3,-3.458,-5.0116,-4.6082,-5.0116,-4.8099
DEFB113,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
CIPC,3.8496,3.5455,3.7624,2.8442,3.0868
FUK,2.545,2.4171,2.4008,2.4779,2.3635
TCEAL5,-1.1036,-5.0116,-2.6811,-4.6082,-5.0116
EIF2AK1,5.8555,6.2939,6.146,5.9898,6.2504
TWIST2,1.8732,0.5762,1.1577,0.8327,0.9036
RXRA,4.7552,4.168,4.3281,3.6359,4.3242
OR8B12,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
PLP2,6.5628,7.1228,6.9267,7.3184,6.9964
SLC6A3,-4.6082,-6.5064,-5.5735,-5.5735,-5.0116
FSIP2,-2.7768,-3.1714,-3.1714,-4.6082,-1.9942
SPDYE2B,-2.3147,-2.4659,-2.6349,-2.2447,-2.8262
ZNF831,-2.3147,-3.6259,-3.6259,-2.8262,-2.5914
LCOR,2.3337,2.4117,2.5804,1.5316,2.2687
MRE11A,2.4332,2.9166,2.636,2.9875,2.7336
CYP4F12,0.03,-1.7566,-1.0265,-3.6259,-2.0541
BICC1,2.0412,1.224,1.8603,1.4228,1.5996
ZNF773,2.02,1.8879,1.9508,1.7446,1.8701
GALNT4,1.8384,1.7807,1.947,0.688,1.0074
KARS,5.6121,5.9048,5.7477,6.6802,6.2059
RCOR2,-0.8601,-0.3112,-0.699,2.0844,0.1118
TGOLN2,5.712,5.5258,5.7111,5.2499,5.328
EIF3C,8.0443,8.1587,8.153,8.2254,8.0747
DIRAS2,-4.1642,-5.5735,-4.6082,-4.035,-5.5735
FUT10,1.2271,1.1577,1.1641,1.2147,1.0503
KLRK1,1.3194,0.1775,0.1708,0.9789,0.6562
CYGB,3.3534,1.9766,2.7172,2.1013,2.1718
CTLA4,-0.8212,-0.4521,-1.4502,0.4657,0.0649
P4HA2,4.3589,4.8475,4.7036,4.7329,5.2047
HIVEP1,2.9356,2.8351,2.9488,3.1261,3.2427
DAPK2,2.726,2.183,2.556,2.8482,1.7248
FLCN,3.3924,3.0816,3.1003,2.8701,3.0428
CCDC155,-5.0116,-4.6082,-5.5735,-3.816,-3.6259
KLRF1,-1.3188,-2.5479,-2.3516,-2.3884,-1.9942
ANKRD37,2.5487,2.457,2.4279,2.4779,3.2856
TTLL2,-6.5064,-6.5064,-6.5064,-3.816,-6.5064
DMBX1,-3.9255,-2.5479,-3.816,-4.2934,-2.5914
PPP1R11,5.56,5.7896,5.7579,5.6358,5.7224
STK10,3.1796,2.9412,2.9893,3.1294,3.1932
CASC3,4.9944,5.2038,5.0255,4.6428,4.7242
NPHP1,2.2113,2.3208,2.205,1.196,1.4142
SOX14,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ZNF239,2.5572,2.8209,2.5804,2.5585,1.889
INAFM2,2.5049,2.1213,2.4238,2.7784,2.5462
BICD2,2.9729,2.7292,2.792,3.0791,2.8402
CCL5,4.6994,3.9838,3.8506,5.4542,4.5792
MBD4,4.2991,4.5504,4.2862,4.5522,4.4044
CEBPZ,4.6798,4.8859,4.7525,5.2126,4.7846
PAX9,1.5974,1.2756,1.1833,-1.1488,1.6942
ATG101,5.0818,4.9045,4.845,4.9007,5.072
AP2A1,5.1886,5.3822,5.2472,4.9156,5.1526
NAGS,0.8568,0.3231,0.8081,-0.3201,-0.9971
AK6,5.0475,5.4035,5.1887,4.6265,4.9823
EEA1,1.9712,2.0004,2.02,1.5115,1.7918
ZBTB1,3.7171,3.6112,3.7576,3.3952,3.6078
TCEB3,3.673,3.9933,3.8223,4.1128,3.8439
MRPS9,4.0786,4.1302,3.9682,4.5454,4.22
ATG16L2,3.3414,2.9534,2.9383,2.5756,2.5438
GRIK2,-2.9324,-3.0469,-2.7274,-3.6259,-3.1092
NFATC1,2.9784,2.0809,2.8034,2.9929,2.0673
POLD4,6.005,5.9183,5.9451,4.8625,5.7199
MOBP,-5.0116,-5.5735,-5.5735,-5.0116,-4.2934
ZNF706,6.2363,7.1766,6.6178,7.2085,6.8592
CLIC4,5.4517,5.4074,5.6372,6.1845,5.7925
HINT1,7.7522,7.7614,7.4912,7.4799,7.825
YAF2,3.1011,3.2274,3.127,2.7931,3.0969
UCN,-0.1109,-0.7467,-0.4325,-1.9942,-0.4244
TCEAL9,5.4183,4.9683,5.2921,5.6528,5.0955
PHF23,4.6485,4.3488,4.5859,4.4006,4.3816
HAUS2,2.9119,3.1303,2.9902,2.93,3.1045
RPUSD1,3.6864,3.84,3.781,3.8441,3.5694
CEP63,3.8023,3.9792,3.9356,3.795,3.7129
NOSTRIN,4.8223,3.1291,4.2154,0.7233,2.9404
OR4K2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
PDHA1,5.8243,6.1157,5.8616,6.8358,6.4272
F7,2.1956,0.7406,0.9605,-3.816,0.3438
SLAIN1,0.1519,-0.8339,-0.7108,1.3051,-0.3032
RANBP1,5.9705,6.3346,5.8528,6.929,6.5664
CTXN3,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658
TMEM131,3.8466,3.7825,3.7699,3.3759,3.9902
KRTAP9-2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ZMAT1,2.5803,1.7638,2.0912,0.7233,1.2424
