sample,IDC_Her2,IDC_Basal,IDC_LumA,IDC_LumB,ILC_LumA
ALDH2,1.0,1.0,1.0,1.0,1.0
EVC2,0.08,0.439,0.424,0.131,0.623
CNDP1,0.0,0.047,0.02,0.0,0.0
RPL37A,1.0,1.0,1.0,1.0,1.0
CA5B,0.96,0.85,0.99,0.943,0.991
TRIM31,0.04,0.037,0.02,0.025,0.0
COG2,1.0,1.0,1.0,1.0,1.0
HOXA4,0.38,0.542,0.566,0.205,0.868
C4orf45,0.0,0.0,0.005,0.0,0.0
UBE2Q2,1.0,1.0,1.0,1.0,1.0
CCDC68,0.08,0.075,0.263,0.172,0.311
RDH8,0.0,0.0,0.0,0.0,0.0
TPRG1,0.86,0.636,0.99,0.992,1.0
SENP7,0.98,0.944,1.0,0.992,1.0
TP53TG5,0.0,0.009,0.081,0.107,0.104
PGAM4,0.0,0.009,0.0,0.0,0.0
CAPN9,0.74,0.168,0.758,0.705,0.849
MAP2K4,1.0,1.0,1.0,0.992,1.0
TMED8,1.0,1.0,1.0,1.0,1.0
CSPP1,1.0,1.0,1.0,0.992,1.0
ARHGAP40,0.6,0.262,0.49,0.254,0.745
MAGEB18,0.0,0.0,0.0,0.0,0.0
TMTC2,0.96,0.86,0.985,0.967,1.0
POLE,1.0,1.0,1.0,1.0,1.0
NOP56,1.0,1.0,1.0,1.0,1.0
LIPT1,1.0,1.0,1.0,1.0,1.0
SYNC,0.86,0.523,0.975,0.91,0.962
DHRS11,1.0,1.0,1.0,1.0,1.0
OR1J4,0.0,0.0,0.0,0.0,0.0
DSCR4,0.08,0.028,0.0,0.016,0.0
NOS1AP,0.34,0.495,0.838,0.705,0.887
WNT2B,0.02,0.14,0.045,0.041,0.123
SLC16A13,0.94,0.944,0.909,0.852,0.896
SMARCB1,1.0,1.0,1.0,1.0,1.0
ZNF675,1.0,0.981,1.0,1.0,0.991
FAM231D,0.0,0.0,0.0,0.0,0.0
PYROXD2,0.96,0.907,0.98,0.951,0.972
GABRQ,0.16,0.047,0.025,0.074,0.028
TAS2R40,0.0,0.0,0.0,0.0,0.0
PIK3C3,1.0,1.0,1.0,1.0,1.0
IGF1,0.68,0.561,0.889,0.672,0.981
POLDIP3,1.0,1.0,1.0,1.0,1.0
RPLP2,1.0,1.0,1.0,1.0,1.0
PENK,0.12,0.065,0.121,0.049,0.283
LAMB2,1.0,1.0,1.0,1.0,1.0
ORC3,1.0,1.0,1.0,1.0,1.0
ATP6V1B2,1.0,1.0,1.0,1.0,1.0
CAMK2N2,0.26,0.131,0.121,0.336,0.104
S100A7,0.76,0.626,0.419,0.369,0.321
OASL,0.98,0.953,0.944,0.926,0.943
LACTB,1.0,1.0,1.0,1.0,1.0
TULP3,1.0,1.0,1.0,1.0,1.0
CECR2,0.5,0.075,0.207,0.377,0.113
OR4C46,0.0,0.0,0.0,0.0,0.0
OR2F1,0.0,0.0,0.0,0.0,0.0
CT47A12,0.0,0.0,0.0,0.0,0.0
WDR89,1.0,1.0,1.0,1.0,1.0
FAM160B2,1.0,1.0,1.0,1.0,1.0
TRPM1,0.0,0.0,0.0,0.0,0.009
CNTRL,1.0,1.0,1.0,0.992,1.0
MPPED1,0.0,0.0,0.066,0.074,0.028
SMAGP,1.0,1.0,0.995,1.0,1.0
HSD17B8,0.96,0.925,1.0,1.0,1.0
FAM136A,1.0,1.0,1.0,1.0,1.0
DNAJC12,0.88,0.71,0.995,1.0,1.0
HCST,1.0,0.991,0.995,0.992,0.991
RPLP1,1.0,1.0,1.0,1.0,1.0
IL3,0.0,0.0,0.0,0.0,0.0
SKI,1.0,1.0,1.0,1.0,1.0
GUF1,1.0,1.0,1.0,1.0,1.0
GPRC5C,1.0,0.916,1.0,1.0,1.0
FARSA,1.0,1.0,1.0,1.0,1.0
SLC16A4,0.84,0.879,0.96,0.779,0.962
RCN2,1.0,1.0,1.0,1.0,1.0
ABHD17C,1.0,1.0,1.0,1.0,1.0
ARL3,1.0,1.0,1.0,1.0,1.0
ASCL2,0.76,0.523,0.374,0.582,0.575
SNX11,1.0,1.0,1.0,1.0,1.0
TMEM107,1.0,1.0,1.0,1.0,1.0
ZBTB40,0.98,1.0,1.0,0.992,1.0
SPTLC3,0.82,0.888,0.899,0.746,0.962
SNN,1.0,1.0,1.0,1.0,1.0
SLC22A11,0.0,0.0,0.015,0.0,0.047
WBP1L,1.0,1.0,1.0,1.0,1.0
ARC,0.08,0.121,0.237,0.197,0.236
SYCE3,0.54,0.449,0.737,0.779,0.83
PRKACG,0.0,0.0,0.0,0.0,0.0
FHDC1,0.96,0.925,0.98,0.959,0.981
MAGI1,1.0,0.981,1.0,1.0,1.0
TEC,0.38,0.234,0.172,0.148,0.226
ARPC5,1.0,1.0,1.0,1.0,1.0
TSPAN19,0.0,0.0,0.005,0.0,0.0
LINGO1,0.96,0.841,0.96,0.926,0.972
FAM84B,1.0,1.0,1.0,1.0,1.0
SFXN1,1.0,1.0,1.0,0.992,1.0
ZNRF1,1.0,1.0,1.0,1.0,1.0
BCHE,0.04,0.178,0.091,0.074,0.236
ZFP3,0.94,0.944,0.985,0.967,0.972
CIC,1.0,1.0,1.0,1.0,1.0
CEP19,0.74,0.673,0.929,0.861,0.906
CLDN7,1.0,0.991,1.0,1.0,1.0
YWHAB,1.0,1.0,1.0,1.0,1.0
ATP1B4,0.0,0.0,0.0,0.0,0.0
HEMGN,0.0,0.0,0.0,0.0,0.0
LDLRAD4,1.0,0.991,1.0,1.0,1.0
LCP2,1.0,0.981,1.0,1.0,1.0
DBF4,1.0,1.0,1.0,1.0,1.0
CT47A1,0.0,0.0,0.0,0.0,0.0
LONRF1,1.0,1.0,1.0,1.0,1.0
TADA3,1.0,1.0,1.0,1.0,1.0
ORAI2,1.0,1.0,1.0,1.0,1.0
PHF7,0.98,0.953,0.995,0.992,1.0
HGD,0.9,0.271,0.813,0.721,0.745
ZNF547,0.88,0.654,0.919,0.844,0.934
GNL3L,0.98,0.972,0.99,0.992,0.981
TLDC2,0.1,0.28,0.071,0.074,0.245
ACSM2B,0.02,0.0,0.0,0.0,0.0
WAS,1.0,0.972,0.99,0.975,0.991
PPP1R3A,0.0,0.009,0.0,0.0,0.0
LIG4,0.96,0.981,0.995,0.967,0.972
MAMSTR,0.22,0.57,0.318,0.533,0.377
LTV1,1.0,1.0,1.0,1.0,1.0
PRDM8,0.08,0.075,0.076,0.033,0.208
OLFM3,0.02,0.028,0.01,0.033,0.009
C6orf106,1.0,1.0,1.0,1.0,1.0
ZNF337,1.0,1.0,1.0,1.0,1.0
OR10G4,0.0,0.0,0.0,0.0,0.0
KCNMB1,0.34,0.551,0.48,0.082,0.585
NBEAL1,1.0,0.981,0.995,0.984,1.0
POU3F4,0.0,0.019,0.0,0.0,0.0
BLNK,0.98,1.0,1.0,1.0,1.0
EVC,0.98,0.832,0.97,0.885,0.991
ERH,1.0,1.0,1.0,1.0,1.0
PIGP,1.0,1.0,1.0,1.0,1.0
GPR37L1,0.0,0.009,0.025,0.107,0.0
SEPT2,1.0,1.0,1.0,1.0,1.0
ADARB1,1.0,1.0,1.0,1.0,1.0
APOC1,1.0,1.0,1.0,1.0,1.0
WEE1,1.0,1.0,1.0,1.0,1.0
TMEM168,1.0,1.0,1.0,1.0,1.0
NOS2,0.0,0.028,0.005,0.0,0.0
UNC45B,0.0,0.0,0.0,0.0,0.0
MUC12,0.12,0.103,0.222,0.131,0.208
FAN1,1.0,1.0,1.0,1.0,1.0
YIF1B,1.0,1.0,1.0,1.0,1.0
EFNB3,0.32,0.477,0.702,0.385,0.698
TM6SF1,0.88,0.766,0.934,0.869,0.991
PRKCQ,0.26,0.495,0.116,0.156,0.264
MS4A5,0.0,0.0,0.005,0.0,0.0
SGPP2,0.58,0.729,0.48,0.418,0.491
PHOX2B,0.0,0.0,0.0,0.0,0.0
AZIN2,1.0,0.963,1.0,0.992,1.0
LARGE2,0.88,0.991,0.965,0.877,0.972
SH3BP4,1.0,0.991,1.0,1.0,1.0
SLC25A41,0.02,0.0,0.0,0.0,0.0
CPN2,0.0,0.0,0.02,0.025,0.009
HIST2H3D,0.04,0.084,0.051,0.041,0.038
SP1,1.0,1.0,1.0,1.0,1.0
MT1X,1.0,1.0,1.0,1.0,1.0
EIF4E,1.0,1.0,1.0,1.0,1.0
PPP4R3A,1.0,1.0,1.0,1.0,1.0
DYNLRB1,1.0,1.0,1.0,1.0,1.0
ATP11C,1.0,1.0,0.995,0.992,1.0
TMPPE,0.14,0.215,0.081,0.156,0.047
CAPS,1.0,1.0,1.0,1.0,1.0
CBX7,1.0,0.991,1.0,1.0,1.0
DIAPH3,0.88,0.991,0.697,0.951,0.509
SART3,1.0,1.0,1.0,1.0,1.0
SLFN11,1.0,0.981,1.0,0.975,1.0
RAD51D,1.0,1.0,1.0,1.0,1.0
VPREB3,0.56,0.598,0.242,0.197,0.396
KLK15,0.0,0.0,0.0,0.008,0.0
CGB3,0.0,0.0,0.005,0.0,0.0
CCDC84,1.0,1.0,1.0,1.0,1.0
RUFY2,1.0,1.0,1.0,1.0,1.0
IFRD1,1.0,1.0,1.0,1.0,1.0
C1QTNF5,1.0,1.0,1.0,1.0,1.0
HIST1H2AJ,0.06,0.037,0.025,0.025,0.009
PTPRA,1.0,1.0,1.0,1.0,1.0
PLK1,1.0,1.0,0.985,1.0,0.991
MBOAT4,0.0,0.0,0.0,0.0,0.0
C5orf38,1.0,0.888,0.965,0.918,0.981
STAG2,1.0,1.0,1.0,1.0,1.0
PDX1,0.0,0.056,0.0,0.008,0.0
CHMP4B,1.0,1.0,1.0,1.0,1.0
IL20RB,0.02,0.318,0.02,0.008,0.038
SLC12A6,0.98,0.972,0.995,0.951,1.0
EIF4G2,1.0,1.0,1.0,1.0,1.0
OR4K15,0.0,0.0,0.0,0.0,0.0
NT5C1A,0.0,0.009,0.0,0.0,0.0
POTEG,0.0,0.0,0.005,0.0,0.0
MBD1,1.0,1.0,1.0,1.0,1.0
ISYNA1,1.0,1.0,1.0,1.0,1.0
SH3BP2,1.0,1.0,1.0,1.0,1.0
PELI3,1.0,1.0,1.0,0.992,1.0
HERPUD1,1.0,1.0,1.0,1.0,1.0
EXOSC1,1.0,1.0,1.0,1.0,1.0
HPDL,0.38,0.879,0.066,0.213,0.085
CD180,0.66,0.72,0.47,0.516,0.575
RPAP2,1.0,1.0,1.0,1.0,1.0
RAB7A,1.0,1.0,1.0,1.0,1.0
DARS,1.0,1.0,1.0,1.0,1.0
GALNT2,1.0,1.0,1.0,1.0,1.0
RPE65,0.0,0.009,0.0,0.0,0.0
SIRT7,1.0,1.0,1.0,1.0,1.0
TSHZ3,0.9,0.71,0.944,0.877,0.981
PRR27,0.0,0.131,0.0,0.0,0.0
SNX2,1.0,1.0,1.0,1.0,1.0
MXD4,1.0,1.0,1.0,1.0,1.0
OGG1,1.0,1.0,1.0,1.0,1.0
DTX4,0.96,0.991,0.934,0.861,0.925
FAM122A,1.0,1.0,1.0,1.0,1.0
WDR46,1.0,1.0,1.0,1.0,1.0
LRRC31,0.52,0.009,0.429,0.344,0.585
DGKZ,1.0,1.0,1.0,1.0,1.0
PARP11,0.98,0.776,1.0,0.984,1.0
KRT38,0.0,0.0,0.0,0.0,0.0
PDCD2,1.0,1.0,1.0,1.0,1.0
PGS1,1.0,1.0,1.0,1.0,1.0
ARHGAP18,1.0,1.0,1.0,1.0,1.0
HHLA1,0.0,0.0,0.0,0.0,0.0
C7orf61,0.02,0.178,0.005,0.016,0.019
FAM78A,0.92,0.757,0.854,0.77,0.943
C1orf174,1.0,1.0,1.0,1.0,1.0
ZNHIT2,1.0,1.0,0.995,1.0,0.991
KCNK9,0.08,0.196,0.025,0.082,0.0
A1CF,0.0,0.0,0.0,0.0,0.0
EMC8,1.0,1.0,1.0,1.0,1.0
HDDC2,1.0,1.0,1.0,1.0,1.0
SUSD5,0.28,0.318,0.217,0.23,0.198
NBPF8,0.94,1.0,0.97,0.959,0.972
TPK1,0.94,0.729,0.929,0.852,0.981
DYNLT3,1.0,1.0,1.0,1.0,1.0
OPRL1,0.28,0.421,0.753,0.607,0.764
MRPS10,1.0,1.0,1.0,1.0,1.0
FKBP5,1.0,1.0,1.0,1.0,1.0
FOXL2NB,0.0,0.028,0.01,0.0,0.0
VIP,0.0,0.0,0.0,0.0,0.009
L1CAM,0.48,0.598,0.192,0.27,0.094
TNFSF10,1.0,1.0,1.0,1.0,1.0
UBE3C,1.0,1.0,1.0,1.0,1.0
C5orf63,0.82,0.804,0.98,0.967,0.981
TYW1B,0.48,0.458,0.535,0.516,0.679
SYTL3,1.0,0.981,0.97,0.926,0.981
GEN1,1.0,1.0,0.97,0.992,0.934
RSPRY1,1.0,1.0,1.0,1.0,1.0
CPSF4L,0.02,0.037,0.0,0.016,0.0
SNX25,1.0,0.981,1.0,0.984,1.0
TRAIP,1.0,1.0,0.985,1.0,1.0
GALK1,1.0,1.0,0.995,1.0,1.0
MPND,1.0,1.0,1.0,1.0,1.0
CCDC140,0.0,0.0,0.0,0.0,0.0
MEIG1,0.1,0.318,0.056,0.082,0.0
KRT14,0.76,0.953,0.899,0.656,0.925
CASP3,1.0,1.0,1.0,1.0,1.0
AQP12A,0.04,0.0,0.0,0.0,0.0
COMT,1.0,1.0,1.0,1.0,1.0
FSCB,0.0,0.0,0.0,0.0,0.0
CNTN6,0.02,0.019,0.005,0.016,0.0
AMDHD2,1.0,1.0,1.0,1.0,1.0
TTI2,1.0,1.0,1.0,1.0,1.0
C11orf96,1.0,0.981,0.995,0.992,1.0
CCDC186,1.0,1.0,1.0,0.992,1.0
NUS1,1.0,1.0,1.0,1.0,1.0
PAPSS1,1.0,1.0,1.0,1.0,1.0
ERAP1,1.0,1.0,1.0,1.0,1.0
STEAP1B,0.04,0.346,0.005,0.0,0.009
DEFB116,0.0,0.0,0.0,0.0,0.0
TMEM88,0.74,0.645,0.828,0.557,0.981
HELQ,1.0,1.0,1.0,1.0,1.0
NOTUM,0.06,0.215,0.015,0.033,0.047
RHOBTB3,1.0,0.991,0.995,1.0,1.0
KIF3C,0.96,1.0,0.995,1.0,0.991
FRZB,0.84,0.757,0.99,0.893,1.0
STAG1,0.98,1.0,1.0,1.0,1.0
MTA2,1.0,1.0,1.0,1.0,1.0
C9orf40,0.86,1.0,0.919,0.943,0.953
MYO1E,1.0,1.0,1.0,1.0,1.0
OR5T2,0.0,0.0,0.0,0.0,0.0
C1orf68,0.0,0.0,0.0,0.0,0.009
PRR5L,1.0,0.944,0.995,1.0,1.0
THOC7,1.0,1.0,1.0,1.0,1.0
AEBP2,1.0,1.0,1.0,1.0,1.0
PDCL2,0.0,0.009,0.0,0.0,0.0
SOST,0.02,0.019,0.0,0.0,0.0
STX6,1.0,1.0,1.0,1.0,1.0
MRFAP1,1.0,1.0,1.0,1.0,1.0
DPF3,0.1,0.168,0.015,0.008,0.047
AGAP5,0.72,0.701,0.838,0.746,0.943
SLC2A3,1.0,0.991,1.0,0.992,1.0
ZNF471,0.38,0.561,0.49,0.418,0.726
TRIOBP,1.0,1.0,1.0,1.0,1.0
ASB4,0.02,0.019,0.0,0.008,0.019
S100A13,1.0,1.0,1.0,1.0,1.0
WDFY2,1.0,1.0,0.985,0.984,1.0
PSMD6,1.0,1.0,1.0,1.0,1.0
NRSN2,1.0,1.0,1.0,1.0,1.0
CFAP206,0.42,0.103,0.409,0.369,0.255
TAF6L,1.0,1.0,1.0,1.0,1.0
TAB1,1.0,1.0,1.0,1.0,1.0
PIK3IP1,1.0,1.0,1.0,1.0,1.0
SYPL2,0.02,0.009,0.0,0.0,0.009
PSMD11,1.0,1.0,1.0,1.0,1.0
GLUL,1.0,1.0,1.0,1.0,1.0
PLXND1,1.0,1.0,1.0,1.0,1.0
GOLGA8B,0.96,0.953,0.924,0.934,0.981
NEK9,1.0,1.0,1.0,1.0,1.0
DEC1,0.06,0.019,0.076,0.082,0.066
KCTD12,1.0,1.0,1.0,1.0,1.0
EGR3,0.52,0.542,0.924,0.762,0.991
DNAJC14,1.0,1.0,1.0,1.0,1.0
PDE6H,0.0,0.009,0.0,0.0,0.0
ATF2,1.0,1.0,1.0,1.0,1.0
PHLDA3,1.0,1.0,1.0,1.0,1.0
ADAMTS9,0.92,0.963,0.944,0.877,0.991
FAM183A,0.48,0.308,0.763,0.664,0.566
CNTN3,0.28,0.084,0.328,0.238,0.396
KCNE5,0.04,0.196,0.01,0.049,0.009
ING3,0.98,1.0,1.0,1.0,1.0
TESC,0.54,0.57,0.672,0.475,0.934
OR8S1,0.0,0.0,0.0,0.0,0.0
XPNPEP3,1.0,1.0,1.0,1.0,1.0
ACTC1,0.02,0.056,0.035,0.008,0.047
TUBE1,1.0,1.0,1.0,1.0,1.0
RBM23,1.0,1.0,1.0,1.0,1.0
CAMSAP2,1.0,1.0,1.0,0.992,1.0
C8orf86,0.0,0.0,0.035,0.057,0.0
HSBP1L1,1.0,1.0,1.0,1.0,1.0
CD300LD,0.0,0.0,0.0,0.0,0.0
CFI,1.0,0.963,1.0,0.992,1.0
PLAT,1.0,0.991,1.0,1.0,1.0
MFSD6,1.0,1.0,1.0,1.0,1.0
ARL6,0.9,0.991,0.995,0.992,1.0
FAM126B,0.98,0.953,0.99,0.984,0.991
MCF2L2,0.1,0.187,0.005,0.025,0.0
ACP7,0.04,0.224,0.0,0.033,0.0
DNAJC10,1.0,1.0,1.0,1.0,1.0
ELOVL7,0.7,0.916,0.732,0.803,0.821
ANXA8,0.48,0.935,0.652,0.213,0.736
HORMAD1,0.12,0.776,0.025,0.082,0.0
RPRD1B,1.0,1.0,1.0,1.0,1.0
N6AMT1,0.98,1.0,1.0,1.0,1.0
EGFL6,0.7,0.766,0.48,0.5,0.491
DCHS1,0.92,0.832,0.995,0.902,0.991
GAGE12D,0.02,0.0,0.0,0.025,0.0
GH2,0.0,0.0,0.0,0.0,0.0
TLE3,1.0,1.0,1.0,1.0,1.0
GPS1,1.0,1.0,1.0,1.0,1.0
SCAMP4,1.0,1.0,1.0,1.0,1.0
PALM2,0.08,0.196,0.01,0.016,0.019
OPTN,1.0,1.0,1.0,1.0,1.0
CYP11B2,0.0,0.0,0.0,0.0,0.0
C3orf38,1.0,1.0,1.0,1.0,1.0
S100A4,1.0,1.0,1.0,1.0,1.0
OR52Z1,0.0,0.0,0.0,0.0,0.0
SPTSSB,0.84,0.402,0.874,0.885,0.849
PSORS1C1,0.76,0.794,0.899,0.738,0.877
ASB14,0.0,0.0,0.005,0.0,0.009
FAM212B,0.74,0.43,0.485,0.426,0.717
DEFB114,0.0,0.0,0.0,0.0,0.0
ZNF346,1.0,1.0,1.0,1.0,1.0
HYAL3,0.92,0.991,0.97,0.934,0.962
FAM107B,1.0,1.0,1.0,1.0,1.0
ACTRT2,0.0,0.0,0.0,0.0,0.0
UNC5A,0.64,0.103,0.465,0.459,0.585
AIFM3,0.5,0.29,0.444,0.598,0.575
ALG1L2,0.0,0.0,0.005,0.008,0.009
PSME4,1.0,1.0,1.0,1.0,1.0
HSPA2,0.96,0.944,0.99,0.943,1.0
PDLIM1,1.0,1.0,1.0,1.0,1.0
SBK1,0.92,0.953,0.98,0.984,0.991
UGT2B4,0.08,0.0,0.091,0.098,0.038
MTPN,1.0,1.0,1.0,1.0,1.0
PPP1R3F,0.82,0.841,0.944,0.779,0.943
IFNA2,0.0,0.0,0.0,0.0,0.0
CPPED1,1.0,0.953,1.0,1.0,1.0
CDK5R2,0.04,0.009,0.02,0.057,0.0
VWA3A,0.02,0.0,0.086,0.066,0.019
BAAT,0.0,0.0,0.0,0.0,0.0
UBE2F,1.0,1.0,1.0,1.0,1.0
ZNF195,1.0,1.0,1.0,1.0,1.0
LHX8,0.12,0.047,0.005,0.033,0.0
BICDL1,1.0,1.0,1.0,1.0,1.0
AMN1,0.98,0.991,1.0,0.992,1.0
NPR2,1.0,0.963,0.98,0.959,1.0
B4GALT5,1.0,1.0,1.0,1.0,1.0
FAM104B,1.0,1.0,1.0,1.0,1.0
ADPGK,1.0,1.0,1.0,1.0,1.0
TPPP,0.46,0.206,0.657,0.508,0.5
TPD52L3,0.0,0.0,0.0,0.0,0.0
UBASH3A,0.28,0.346,0.121,0.197,0.33
GDPD1,0.88,0.729,0.949,0.918,0.925
SLC35C1,1.0,1.0,0.995,1.0,1.0
TMEM235,0.0,0.0,0.0,0.0,0.0
NDUFA6,1.0,1.0,1.0,1.0,1.0
CD47,1.0,1.0,1.0,1.0,1.0
FBXO36,0.86,0.421,0.98,0.951,0.981
KCNT1,0.04,0.009,0.01,0.008,0.0
IQCF3,0.0,0.0,0.0,0.0,0.0
RAB40B,1.0,1.0,1.0,1.0,1.0
PRL,0.0,0.0,0.0,0.0,0.0
MATN2,0.98,0.963,0.975,0.959,1.0
DLX5,0.16,0.57,0.116,0.066,0.104
ZNF606,0.96,1.0,0.985,0.992,0.991
NDUFA12,1.0,1.0,1.0,1.0,1.0
S1PR1,0.98,0.953,1.0,1.0,1.0
CUL7,1.0,1.0,1.0,1.0,1.0
TTYH2,0.78,0.888,0.854,0.795,0.962
P2RY11,0.98,1.0,0.995,0.984,1.0
IL21R,0.8,0.664,0.444,0.508,0.594
DNAJC19,1.0,1.0,1.0,1.0,1.0
SLX1B,1.0,0.972,0.995,0.967,1.0
KRT77,0.0,0.047,0.0,0.0,0.028
ZNF79,1.0,0.963,1.0,0.984,1.0
SPOUT1,1.0,1.0,1.0,1.0,1.0
IQUB,0.02,0.0,0.162,0.09,0.123
PITPNM2,0.7,0.944,0.626,0.549,0.585
RABL6,1.0,1.0,1.0,1.0,1.0
PLIN5,0.28,0.187,0.742,0.721,0.915
SLC9A5,0.22,0.0,0.051,0.107,0.066
ABCA4,0.12,0.355,0.237,0.23,0.33
WBP4,1.0,1.0,1.0,1.0,1.0
TXNRD2,1.0,1.0,1.0,1.0,1.0
EDA2R,0.16,0.093,0.591,0.32,0.623
SSFA2,1.0,1.0,1.0,1.0,1.0
GPR88,0.08,0.0,0.035,0.041,0.028
ANXA7,1.0,1.0,1.0,1.0,1.0
C2orf54,0.86,0.589,0.551,0.59,0.604
FAM214A,1.0,1.0,1.0,1.0,1.0
DSCR3,1.0,1.0,1.0,1.0,1.0
TBC1D3G,0.04,0.037,0.02,0.033,0.019
AAMP,1.0,1.0,1.0,1.0,1.0
CATSPER4,0.0,0.0,0.0,0.0,0.0
IL4R,1.0,1.0,1.0,1.0,1.0
TRPC4AP,1.0,1.0,1.0,1.0,1.0
RCBTB1,1.0,0.991,1.0,1.0,1.0
BIRC7,0.0,0.037,0.01,0.033,0.066
OR10V1,0.0,0.0,0.0,0.0,0.0
GABPB2,1.0,1.0,1.0,1.0,1.0
COL18A1,1.0,1.0,1.0,1.0,1.0
DYNLRB2,0.82,0.252,0.975,0.934,0.991
INAFM1,1.0,0.991,0.99,1.0,1.0
KCNAB2,1.0,0.981,0.98,0.975,0.991
EXOC3L4,0.24,0.234,0.136,0.197,0.189
ZNRF4,0.0,0.0,0.0,0.0,0.0
CTSS,1.0,1.0,1.0,1.0,1.0
ETNK1,1.0,1.0,1.0,1.0,1.0
PTCH1,0.6,0.879,0.535,0.459,0.736
GJD4,0.0,0.0,0.0,0.0,0.0
RASGEF1A,0.68,0.841,0.707,0.598,0.726
DCAF12L1,0.0,0.0,0.01,0.049,0.0
ASB7,1.0,0.991,1.0,1.0,1.0
ITPR2,0.98,1.0,0.995,0.992,1.0
STX1B,0.04,0.065,0.258,0.107,0.396
NASP,1.0,1.0,1.0,1.0,1.0
SLC4A1AP,1.0,1.0,1.0,1.0,1.0
USP17L19,0.0,0.0,0.0,0.0,0.0
DVL2,1.0,1.0,1.0,1.0,1.0
VPS13D,1.0,1.0,1.0,1.0,1.0
PUS7,1.0,1.0,1.0,1.0,1.0
PDE3A,0.2,0.327,0.48,0.197,0.585
TMEM69,1.0,1.0,1.0,1.0,1.0
DEFB104A,0.0,0.0,0.0,0.0,0.0
GATA6,0.78,0.794,0.551,0.467,0.877
MGAT5,1.0,1.0,1.0,1.0,1.0
CENPV,1.0,0.991,0.995,0.959,1.0
SLC16A14,0.94,0.654,0.914,0.951,0.991
ZNF670,0.9,1.0,0.949,0.926,0.943
SLC6A9,1.0,0.991,0.985,0.992,1.0
HSPB8,0.98,0.832,0.995,0.959,0.981
DTNB,1.0,1.0,1.0,1.0,1.0
KRTAP10-8,0.0,0.0,0.0,0.0,0.0
SLC12A3,0.12,0.0,0.01,0.025,0.019
RAB20,1.0,1.0,1.0,1.0,1.0
DENND3,1.0,0.991,1.0,1.0,1.0
MDFI,1.0,1.0,0.99,0.934,1.0
SUSD3,0.84,0.916,1.0,0.984,1.0
NNMT,1.0,1.0,1.0,1.0,1.0
AKNAD1,0.12,0.037,0.005,0.025,0.0
RING1,1.0,1.0,1.0,1.0,1.0
TCTE3,0.4,0.617,0.414,0.475,0.575
KCNH7,0.0,0.0,0.0,0.008,0.0
GYS2,0.02,0.0,0.0,0.0,0.0
MUC6,0.6,0.056,0.273,0.156,0.33
LEO1,1.0,1.0,1.0,1.0,1.0
OR4K14,0.0,0.0,0.0,0.0,0.0
ORM2,0.46,0.505,0.283,0.311,0.217
CYB5D2,1.0,1.0,1.0,1.0,1.0
GTSE1,1.0,1.0,0.894,1.0,0.783
POLE2,1.0,1.0,0.995,1.0,1.0
USP17L27,0.0,0.0,0.0,0.0,0.0
POLR2A,1.0,1.0,1.0,1.0,1.0
TRIM59,1.0,1.0,1.0,1.0,0.991
ATP5D,1.0,1.0,1.0,1.0,1.0
FGF22,0.0,0.009,0.0,0.0,0.0
ASB9,0.58,0.72,0.439,0.369,0.764
NPIPB9,0.14,0.0,0.141,0.107,0.208
TMEM41B,1.0,1.0,1.0,1.0,1.0
PDCD2L,1.0,1.0,1.0,1.0,1.0
DNAJC11,1.0,1.0,1.0,1.0,1.0
POLN,0.4,0.15,0.662,0.541,0.83
MIF4GD,1.0,1.0,1.0,1.0,1.0
CX3CL1,1.0,1.0,0.99,0.984,1.0
STARD4,0.82,0.869,0.737,0.697,0.679
GZF1,1.0,1.0,1.0,1.0,1.0
ACKR2,0.54,0.449,0.333,0.27,0.358
HPS1,1.0,1.0,1.0,1.0,1.0
RILPL2,0.98,0.944,0.995,0.943,1.0
SYNPR,0.0,0.019,0.005,0.0,0.0
TBXAS1,1.0,1.0,1.0,1.0,1.0
OR2T33,0.0,0.0,0.0,0.0,0.0
MUC5B,0.62,0.907,0.535,0.574,0.557
METRNL,1.0,1.0,1.0,1.0,1.0
RANGRF,1.0,1.0,1.0,1.0,1.0
SCAF4,1.0,1.0,1.0,1.0,1.0
TMEM266,0.06,0.075,0.04,0.025,0.104
PPP2CA,1.0,1.0,1.0,1.0,1.0
KRT3,0.0,0.009,0.0,0.0,0.0
PGBD3,0.14,0.271,0.207,0.238,0.226
CFDP1,1.0,1.0,1.0,1.0,1.0
IMPAD1,1.0,1.0,1.0,1.0,1.0
ANKRD35,0.16,0.495,0.177,0.041,0.472
ELSPBP1,0.02,0.0,0.005,0.0,0.0
ZNF256,1.0,0.935,0.985,0.975,1.0
COMMD7,1.0,1.0,1.0,1.0,1.0
PBRM1,1.0,1.0,1.0,1.0,1.0
IGSF5,0.12,0.112,0.091,0.156,0.189
METTL12,0.96,0.991,0.98,0.959,1.0
SMC3,1.0,1.0,1.0,1.0,1.0
RIPK2,1.0,1.0,1.0,1.0,1.0
RGS8,0.0,0.009,0.005,0.008,0.009
AP3D1,1.0,1.0,1.0,1.0,1.0
NEIL3,0.78,0.897,0.369,0.91,0.198
METTL21C,0.0,0.009,0.0,0.0,0.0
GAB3,0.42,0.402,0.333,0.279,0.623
LILRA6,0.56,0.598,0.293,0.557,0.434
CSRNP2,0.98,1.0,1.0,1.0,1.0
KCNQ1,0.96,0.841,0.939,0.852,0.981
